21:08 mawiSP    : amai
21:10 mawiSP    : ja ik heb geen idee waar ik naartoe moet
21:11 mawiSP    : oja
21:11 mawiSP    : goeie
21:12 mawiSP    : no way
21:12 mawiSP    : de map is rond
21:17 mawiSP    : wat is pve ook alweeer?
21:22 mawiSP    : ooh die dingen
21:22 mawiSP    : dit is gwn pinchcliffe smp copy ofwa xD
